"PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME"
"ILMN_1676336",-0.613700855176477,7.00732512294118,-3.6475518005077,0.000851663292006858,0.0380578488835133,-0.691696992554967,"NCEH1","neutral cholesterol ester hydrolase 1"
"ILMN_1677098",-0.599439592764713,7.3338395357353,-4.58577569466631,5.54240266149556e-05,0.00516521370456946,1.83490287698829,"YPEL2","yippee like 2"
"ILMN_1677318",-0.934863659823534,7.04087446697059,-4.1825886026893,0.00018284211760622,0.0120678347719374,0.727298032562022,"MARCHF8","membrane associated ring-CH-type finger 8"
"ILMN_1677404",-0.990777933941181,8.01497803091176,-4.78621371651168,3.03905848762963e-05,0.00352800301904408,2.39378224747079,"RAP2A","RAP2A, member of RAS oncogene family"
"ILMN_1677843",0.798966465411763,10.4974697065882,4.54435537804379,6.27179450241964e-05,0.00561058849221181,1.71999731446162,"RAB24","RAB24, member RAS oncogene family"
"ILMN_1678766",0.574589241588233,9.10202344932353,4.02052499240271,0.000293250816939611,0.0171079005284006,0.290305347573812,"DYNLT1","dynein light chain Tctex-type 1"
"ILMN_1678808",-1.40090262541177,8.34540082241177,-4.44507200361922,8.42795881880521e-05,0.00686465224065954,1.44551363979892,"ATG14","autophagy related 14"
"ILMN_1678919",-2.03801145141177,10.3641176478235,-5.49964524729399,3.50132951266667e-06,0.000998153111614006,4.40656413950613,"YOD1","YOD1 deubiquitinase"
"ILMN_1678961",-0.603336721588234,6.16848705597059,-3.58306743470335,0.00102052107068875,0.0436261234220448,-0.857563260218261,"FRMD4A","FERM domain containing 4A"
"ILMN_1678966",0.580381294058816,8.41420417744118,5.06762132952682,1.29975561617185e-05,0.00201668568845207,3.18462373415319,"SNRPF","small nuclear ribonucleoprotein polypeptide F"
"ILMN_1679195",0.595913195294116,11.1658310582353,4.06769857589827,0.000255706076836134,0.0154346666761688,0.416935440876621,"TGIF2-RAB5IF","TGIF2-RAB5IF readthrough"
"ILMN_1679195",0.595913195294116,11.1658310582353,4.06769857589827,0.000255706076836134,0.0154346666761688,0.416935440876621,"RAB5IF","RAB5 interacting factor"
"ILMN_1679267",-1.20922791229412,7.1683443135,-5.33075433599873,5.8507112390154e-06,0.00126426122357957,3.92823970353398,"TGM2","transglutaminase 2"
"ILMN_1679324",-1.33165030535294,10.4623417953824,-5.15717585382459,9.90885321036925e-06,0.00173876201358658,3.43737995308564,"EIF1B","eukaryotic translation initiation factor 1B"
"ILMN_1679555",-0.624264859235305,9.81526558561765,-4.20654957047571,0.000170438849562518,0.0115223966826386,0.792356737216669,"TIMM23","translocase of inner mitochondrial membrane 23"
"ILMN_1679919",-1.60778029364707,11.1327159796471,-5.8806111960488,1.09916683432006e-06,0.000569525074342215,5.48541625570488,"ASCC2","activating signal cointegrator 1 complex subunit 2"
"ILMN_1680091",-0.87947152164706,7.35561087523529,-5.00127981957891,1.58867425887549e-05,0.0022442039388885,2.99767067647149,"POP7","POP7 ribonuclease P/MRP subunit"
"ILMN_1680094",-1.99810970458824,7.41229030511765,-5.84620520917292,1.22033590666504e-06,0.000586258373219847,5.38808931183011,"HEMGN","hemogen"
"ILMN_1680109",0.555870312823527,7.92794225235294,3.53811590451585,0.00115688235794741,0.0475235623482162,-0.972421564682917,"CERT1","ceramide transporter 1"
"ILMN_1680134",-1.10282140388236,9.84802091823529,-4.56503474788535,5.89651980607718e-05,0.00541827197636874,1.77733713710887,"CARM1","coactivator associated arginine methyltransferase 1"
"ILMN_1680223",-0.505598314882357,7.44345277591176,-3.6229623930969,0.000912598194072338,0.0403990497729528,-0.755095417104399,"PNPLA8","patatin like domain 8, phospholipase A2"
"ILMN_1680624",-1.57149571005882,9.94589767338235,-6.56250477270525,1.39586194638278e-07,0.000377184761924402,7.40263498538035,"CREG1","cellular repressor of E1A stimulated genes 1"
"ILMN_1680652",-2.17026780405882,10.5200186600882,-5.72972969626448,1.7389617213655e-06,0.000710841286514035,5.05838493433299,"SELENBP1","selenium binding protein 1"
"ILMN_1680777",-0.72323984529412,6.64068177047059,-3.8635403129832,0.000461117463062566,0.0239008342875244,-0.127400231290615,"MAP2K3","mitogen-activated protein kinase kinase 3"
"ILMN_1681437",-0.667856208470592,8.15332134341177,-4.21541063908693,0.000166064093898543,0.0113558274887906,0.816443883501298,"DCXR","dicarbonyl and L-xylulose reductase"
